Predicted_Class,Direct_Assigned_Cost
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
dirt,10
dirt,10
dirt,10
dirt,10
dirt,10
dirt,10
building,254
building,254
building,254
dirt,10
dirt,10
dirt,10
dirt,10
dirt,10
building,254
building,254
building,254
dirt,10
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
dirt,10
dirt,10
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
dirt,10
dirt,10
dirt,10
dirt,10
building,254
building,254
building,254
dirt,10
dirt,10
dirt,10
dirt,10
dirt,10
building,254
building,254
building,254
grass,80
grass,80
building,254
building,254
building,254
building,254
building,254
grass,80
smooth_trail,0
smooth_trail,0
smooth_trail,0
grass,80
grass,80
building,254
grass,80
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
building,254
canopy,160
building,254
building,254
building,254
building,254
dirt,10
building,254
building,254
building,254
building,254
dirt,10
building,254
building,254
dirt,10
dirt,10
dirt,10
dirt,10
dirt,10
building,254
building,254
building,254
building,254
building,254
grass,80
grass,80
grass,80
canopy,160
building,254
grass,80
grass,80
smooth_trail,0
smooth_trail,0
smooth_trail,0
smooth_trail,0
grass,80
grass,80
grass,80
canopy,160
grass,80
grass,80
grass,80
grass,80
grass,80
building,254
building,254
building,254
building,254
building,254
building,254
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
building,254
canopy,160
grass,80
grass,80
building,254
building,254
grass,80
building,254
building,254
dirt,10
building,254
dirt,10
dirt,10
dirt,10
building,254
dirt,10
dirt,10
dirt,10
building,254
canopy,160
building,254
building,254
building,254
building,254
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
smooth_trail,0
smooth_trail,0
smooth_trail,0
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
grass,80
building,254
building,254
building,254
building,254
grass,80
grass,80
building,254
building,254
building,254
building,254
grass,80
building,254
grass,80
building,254
building,254
building,254
building,254
building,254
building,254
grass,80
grass,80
dirt,10
dirt,10
dirt,10
building,254
